Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
Aqgromalin,2019,Chennai,Agriculture,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000.0,Unknown Stage
Krayonnz,2019,Bangalore,Education,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Pre-Seed
PadCare Labs,2018,Pune,Health,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Pre-Seed
NCOME,2020,New Delhi,Finance,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Unknown Stage
Gramophone,2016,Indore,Agriculture,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Unknown Stage
qZense,2019,Bangalore,Agriculture,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed
MyClassboard,2008,Hyderabad,Education,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000.0,Pre-Series
Metvy,2018,Gurgaon,Technology,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,3000000.0,Pre-Series
Rupeek,2015,Bangalore,Finance,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000.0,Series C
Gig India,2017,Pune,E-commerce,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-Series
Slurrp Farm,2016,Gurgaon,Food and Beverages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series A
Medfin,2017,Bangalore,Health,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Series A
MasterG,2015,New Delhi,Lifestyle,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,3000000.0,Unknown Stage
Brila 91,2014,New Delhi,Food and Beverages,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Unknown Stage
FoodyBuddy,2015,Belgaum,Food and Beverages,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Unknown Stage
Zomato,2008,Gurgaon,Transportation & Logistics,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000.0,Unknown Stage
OurEye.ai,2020,Bangalore,Technology,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Unknown Stage
Shiprocket,2017,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C
Pine Labs,1998,Noida,Finance,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",3000000.0,Unknown Stage
Moneyboxx Finance,2019,New Delhi,Finance,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000.0,Unknown Stage
EWar,2019,Bangalore,Technology,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",3000000.0,Pre-Series
SucSEED Indovation,2016,Hyderabad,Finance,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,unknown,5000000.0,Unknown Stage
TaxBuddy.com,2019,Mumbai,Finance,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Unknown Stage
Awign Enterprises,2016,Bangalore,Lifestyle,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Unknown Stage
Circle of Angels,2018,Gurgaon,Finance,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,unknown,3000000.0,Unknown Stage
CoinDCX,2017,Mumbai,Finance,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Series B
Glance,2016,Bangalore,Technology,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Unknown Stage
VerSe Innovation,2007,Bangalore,Technology,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,100000000.0,Unknown Stage
Voosh,2020,Bangalore,Food and Beverages,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,3000000.0,Pre-Seed
Delhivery,2011,Gurgaon,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",3000000.0,Unknown Stage
Arya,1982,Noida,Agriculture,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000.0,Series B
Pickrr,2015,New Delhi,Transportation & Logistics,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,4000000.0,Unknown Stage
PhonePe,2015,Andheri,Finance,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",20000000.0,Unknown Stage
Countingwell,2018,Bangalore,Education,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Pre-Series
Callify.ai,2016,Mumbai,Technology,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed
Hudle,2016,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,3000000.0,Pre-Series
Cover it Up,2013,Chennai,E-commerce,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000.0,Seed
BiteSpeed,2019,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Seed
WakeFit,2016,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Series B
Sreyas Holistic Remedies,2008,Hyderabad,Health,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,1000000.0,Unknown Stage
Fleeca India,2016,Jaipur,Engineering,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,3000000.0,Unknown Stage
M1xchange,2017,Gurgaon,Finance,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",4500000.0,Unknown Stage
Exotel,2011,Bangalore,Technology,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000.0,Unknown Stage
PagarBook,2019,Bangalore,Technology,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Series A
PointOne Capital,2020,Bangalore,Finance,Pre-seed/Seed focussed VC investor,Mihir Jha,unknown,3000000.0,Unknown Stage
Ayana,2017,Bangalore,Energy,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",390000000.0,Unknown Stage
Fisdom,2015,Bangalore,Finance,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",7000000.0,Unknown Stage
Tinker Coders,2020,Noida,Education,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,3000000.0,Seed
Infinite Uptime,2015,Pune,Technology,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B
HappyLocate,2016,Bangalore,Technology,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000.0,Pre-Series
PhonePe,2015,New Delhi,Finance,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,700000000.0,Unknown Stage
Loop Health,2017,Pune,Health,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Seed
NeoDocs,2020,Mumbai,Health,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,3000000.0,Pre-Seed
The ePlane,2016,Chennai,Manufacturing,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,3000000.0,Seed
TagMango,2019,Mumbai,Marketing and advertising,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Seed
The New Shop,2019,New Delhi,Retail,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Seed
MobiKwik,2009,Gurgaon,Finance,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Unknown Stage
DebugsBunny,2020,Pune,Education,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000.0,Unknown Stage
